file,source,card,has,regions,wide_border,holder,face,notes
"screenshots/screenshots004.png","screenshot","card-004","surface:print_lines|photo_ok","top|center|bottom","","sleeve","front",""
"screenshots/screenshots005.png","screenshot","card-004","clean|photo_ok","","","nothing","front",""
"screenshots/screenshots006.png","screenshot","card-004","surface:stains|surface:dimples","bottom_right|top","","","front","There is 2 cards in this photo left and right"
"screenshots/screenshots007.png","screenshot","card-007","clean|glare","top_left|top_right|bottom_right","","nothing","front",""
"screenshots/screenshots008.png","screenshot","card-007","clean|photo_ok","","","sleeve","front",""
"screenshots/screenshots009.png","screenshot","card-009","clean|glare|underexposed","top_left|center","","one_touch","front",""
"screenshots/screenshots010.png","screenshot","card-009","clean|photo_ok","","","one_touch","front",""
"screenshots/screenshots011.png","screenshot","card-011","underexposed|glare|centering:off_center","top|top_right","right","sleeve","front",""
"screenshots/screenshots012.png","screenshot","card-011","centering:off_center|glare","right","right","sleeve","front",""
"screenshots/screenshots013.png","screenshot","card-013","underexposed|centering:off_center","","right","sleeve","front",""
"screenshots/screenshots014.png","screenshot","card-013","clean|glare","bottom_right","","sleeve","front",""
"screenshots/screenshots015.png","screenshot","card-013","clean|photo_ok","","","nothing","front",""
"screenshots/screenshots016.png","screenshot","","underexposed|clean","bottom_right|center","","sleeve","front",""
"screenshots/screenshots017.png","screenshot","","clean|photo_ok","","","nothing","front",""
"screenshots/screenshots018.png","screenshot","","blur|glare|clean","bottom|bottom_left","","slab","front",""
"screenshots/screenshots019.png","screenshot","","glare|blur|clean","bottom_right|center","","sleeve|toploader","front",""
"screenshots/screenshots020.png","screenshot","","blur|glare|clean","center","","nothing","front",""
"screenshots/screenshots021.png","screenshot","card-021","clean","","","sleeve|card_saver","front",""
"screenshots/screenshots022.png","screenshot","card-021","underexposed|centering:off_center","right","bottom","nothing","front",""
"screenshots/screenshots023.png","screenshot","card-021","photo_ok|clean","","","nothing","front",""
"screenshots/screenshots024.png","screenshot","","glare|clean","top_left","","sleeve","front",""
"screenshots/screenshots025.png","screenshot","","glare|clean","top_right","","nothing","front",""
"screenshots/screenshots026.png","screenshot","card-026","clean|glare|blur","bottom|center","","sleeve|toploader","front",""
"screenshots/screenshots027.png","screenshot","card-026","surface:scratches|photo_ok","top_left|center","","nothing","front",""
"screenshots/screenshots028.png","screenshot","","clean|photo_ok","","","slab","front","PSA10"
